"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MIN","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MAX"
"15675.411730814","11489116160","11489116160","11489116160"
"15685.412562296","11489116160","11489116160","11489116160"
"15695.415708579","11489116160","11489116160","11489116160"
"15705.411120088","11489116160","11489116160","11489116160"
"15715.41235391","11489116160","11489116160","11489116160"
"15725.411741857","11489116160","11489116160","11489116160"
"15735.411646958","11489116160","11489116160","11489116160"
"15745.413192116","11489116160","11489116160","11489116160"
"15755.411138971","11489116160","11489116160","11489116160"
"15765.412686347","11489116160","11489116160","11489116160"
"15775.413164323","11489116160","11489116160","11489116160"
"15785.416848519","11489116160","11489116160","11489116160"
"15795.41113365","11489116160","11489116160","11489116160"
"15805.410865563","11489116160","11489116160","11489116160"
"15815.41573461","11489116160","11489116160","11489116160"
"15825.411095985","11489116160","11489116160","11489116160"
"15835.411579241","11489116160","11489116160","11489116160"
"15845.411427871","11489116160","11489116160","11489116160"
"15855.411252492","11489116160","11489116160","11489116160"
"15865.411277955","11489116160","11489116160","11489116160"
"15875.410976627","11489116160","11489116160","11489116160"
"15885.411688232","11489116160","11489116160","11489116160"
"15895.418174209","11489116160","11489116160","11489116160"
"15905.411205902","11489116160","11489116160","11489116160"
"15915.41126283","11489116160","11489116160","11489116160"
"15925.4131369","11489116160","11489116160","11489116160"
"15935.41187201","11489116160","11489116160","11489116160"
"15945.412220379","11489116160","11489116160","11489116160"
"15955.41247029","11489116160","11489116160","11489116160"
"15965.412502693","11489116160","11489116160","11489116160"
"15975.419678438","11489116160","11489116160","11489116160"
"15985.412209417","11489116160","11489116160","11489116160"
"15995.411356281","11489116160","11489116160","11489116160"
"16005.420297151","11489116160","11489116160","11489116160"
"16015.41461106","11489116160","11489116160","11489116160"
"16025.415185802","11489116160","11489116160","11489116160"
"16035.412119891","11489116160","11489116160","11489116160"
"16045.411009861","11489116160","11489116160","11489116160"
"16055.410987097","11489116160","11489116160","11489116160"
"16065.411703219","11489116160","11489116160","11489116160"
"16075.41154775","11489116160","11489116160","11489116160"
"16085.412764567","11489116160","11489116160","11489116160"
"16095.411779951","11489116160","11489116160","11489116160"
"16105.411579933","11489116160","11489116160","11489116160"
"16115.412043851","11489116160","11489116160","11489116160"
"16125.411290401","11489116160","11489116160","11489116160"
"16135.41160907","11489116160","11489116160","11489116160"
"16145.411507802","11489116160","11489116160","11489116160"
"16155.413932798","11489116160","11489116160","11489116160"
"16165.412116674","11489116160","11489116160","11489116160"
"16175.41325895","11489116160","11489116160","11489116160"
"16185.416793222","11489116160","11489116160","11489116160"
"16195.412579377","11489116160","11489116160","11489116160"
"16205.411569287","11489116160","11489116160","11489116160"
"16215.411435628","11489116160","11489116160","11489116160"
"16225.411516739","11489116160","11489116160","11489116160"
"16235.411506437","11489116160","11489116160","11489116160"
"16245.411878512","11489116160","11489116160","11489116160"
"16255.411452305","11489116160","11489116160","11489116160"
"16265.410952195","11489116160","11489116160","11489116160"
"16275.414367298","11489116160","11489116160","11489116160"
"16285.41338949","11489116160","11489116160","11489116160"
"16295.411086767","11489116160","11489116160","11489116160"
"16305.411863361","11489116160","11489116160","11489116160"
"16315.411849125","11489116160","11489116160","11489116160"
"16325.411346509","11489116160","11489116160","11489116160"
"16335.414278841","11489116160","11489116160","11489116160"
"16345.411165037","11489116160","11489116160","11489116160"
"16355.413161757","11489116160","11489116160","11489116160"
"16365.411182993","11489116160","11489116160","11489116160"
"16375.411991954","11489116160","11489116160","11489116160"
"16385.414040552","11489116160","11489116160","11489116160"
"16395.414828545","11489116160","11489116160","11489116160"
"16405.412473367","11489116160","11489116160","11489116160"
"16415.411183225","11489116160","11489116160","11489116160"
"16425.410967297","11489116160","11489116160","11489116160"
"16435.418873709","11489116160","11489116160","11489116160"
"16445.411260544","11489116160","11489116160","11489116160"
"16455.411069457","11489116160","11489116160","11489116160"
"16465.414052931","11489116160","11489116160","11489116160"
"16475.411720659","11489116160","11489116160","11489116160"
"16485.411528304","11489116160","11489116160","11489116160"
"16495.412704558","11489116160","11489116160","11489116160"
"16505.411389632","11489116160","11489116160","11489116160"
"16515.411890958","11489116160","11489116160","11489116160"
"16525.412789396","11489116160","11489116160","11489116160"
"16535.412603164","11489116160","11489116160","11489116160"
"16545.4122294","11489116160","11489116160","11489116160"
"16555.411665097","11489116160","11489116160","11489116160"
"16565.411768055","11489116160","11489116160","11489116160"
"16575.412086041","11489116160","11489116160","11489116160"
"16585.411528418","11489116160","11489116160","11489116160"
"16595.412360592","11489116160","11489116160","11489116160"
"16605.412549215","11489116160","11489116160","11489116160"
"16615.412316564","11489116160","11489116160","11489116160"
"16625.411450121","11489116160","11489116160","11489116160"
"16635.411722008","11489116160","11489116160","11489116160"
"16645.412085111","11489116160","11489116160","11489116160"
"16655.411345897","11489116160","11489116160","11489116160"
"16665.412177693","11489116160","11489116160","11489116160"
"16675.412422763","11489116160","11489116160","11489116160"
"16685.411541434","11489116160","11489116160","11489116160"
"16695.411735329","11489116160","11489116160","11489116160"
"16705.410925661","11489116160","11489116160","11489116160"
"16715.413026897","11489116160","11489116160","11489116160"
"16725.411703539","11489116160","11489116160","11489116160"
"16735.417109808","11489116160","11489116160","11489116160"
"16745.411806843","11489116160","11489116160","11489116160"
"16755.411424655","11489116160","11489116160","11489116160"
"16765.411584571","11489116160","11489116160","11489116160"
"16775.413770942","11489116160","11489116160","11489116160"
"16785.413139985","11489116160","11489116160","11489116160"
"16795.411604733","11489116160","11489116160","11489116160"
"16805.411205363","11489116160","11489116160","11489116160"
"16815.414737276","11489116160","11489116160","11489116160"
"16825.41155854","11489116160","11489116160","11489116160"
"16835.411025773","11489116160","11489116160","11489116160"
"16845.411913702","11489116160","11489116160","11489116160"
"16855.411421998","11489116160","11489116160","11489116160"
"16865.410919466","11489116160","11489116160","11489116160"
"16875.412388529","11489116160","11489116160","11489116160"
"16885.411220052","11489116160","11489116160","11489116160"
"16895.410953839","11489116160","11489116160","11489116160"
"16905.411163155","11489116160","11489116160","11489116160"
"16915.412411194","11489116160","11489116160","11489116160"
"16925.411439862","11489116160","11489116160","11489116160"
"16935.412305253","11489116160","11489116160","11489116160"
"16945.412024813","11489116160","11489116160","11489116160"
"16955.412293367","11489116160","11489116160","11489116160"
"16965.416906348","11489116160","11489116160","11489116160"
"16975.41639745","11489116160","11489116160","11489116160"
"16985.411087936","11489116160","11489116160","11489116160"
"16995.418844262","11489116160","11489116160","11489116160"
"17005.411002284","11489116160","11489116160","11489116160"
"17015.411433585","11489116160","11489116160","11489116160"
"17025.416205959","11489116160","11489116160","11489116160"
